EAR,ITERATION
0.34710366508044865,0
0.34576686931487366,1
0.3481229524213535,2
0.33719378595984706,3
0.29937991528310554,4
0.38668900664051026,5
0.2889618292487752,6
0.36391192114892823,7
0.32780842075098193,8
0.32511744922139696,9
0.2994381893029675,10
0.2634202221216996,11
0.2575610766683863,12
0.27295769397981273,13
0.2602414201019111,14
0.3214620354870251,15
0.3328750316560302,16
0.3235301923112149,17
0.32831510369249556,18
0.3030102074048715,19
0.26322546230659716,20
0.3151946113556897,21
0.2750266322275175,22
0.2994003251940924,23
0.3224292010798766,24
0.31045578112415906,25
0.2939523840325641,26
0.2892698841669561,27
0.3340771759114946,28
0.37166137399021,29
0.294645750683879,30
0.3014189578505151,31
0.31810282648427235,32
0.3017178965978513,33
0.2850288414437918,34
0.2694436427566772,35
0.29909317747179215,36
0.2980318942701532,37
0.3302881024313799,38
0.2655937246487538,39
0.2477370656733574,40
0.27660062593753454,41
0.28564455105589914,42
0.26104589463944927,43
0.3303713916652484,44
0.3303713916652484,45
0.27476810780996486,46
0.23932456872182928,47
0.27820282929816953,48
0.27820282929816953,49
0.3394964145961885,50
0.264598873331236,51
0.23520347556197657,52
0.27813664629199675,53
0.24380563952031722,54
0.2646208592652053,55
0.30064387928406,56
0.26817817997224225,57
0.26182283441302406,58
0.2614567151657746,59
0.2570000444617593,60
0.24949246811888548,61
0.2769360678666283,62
0.3217750908846293,63
